global_id,ifc_type,name,x_m,y_m,z_m,x_min_m,y_min_m,z_min_m,x_max_m,y_max_m,z_max_m,length_m,width_m,height_m,material,thickness_m,load_bearing,is_external,reference
11Je14my97hBHYwYXU$RkM,IfcWallStandardCase,Basiswand:RB_W_OB_ATK_200:3072407,85.16,0.051,8.63,83.33,-0.049,8.18,86.991,0.151,9.08,3.661,0.2,0.9,IfcMaterialLayerSetUsage,0.2,False,False,RB_W_OB_ATK_200
11Je14my97hBHYwYXU$Rkd,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072422,83.78,0.076,6.255,83.33,-0.049,4.55,84.23,0.201,7.96,0.9,0.25,3.41,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$Rkc,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072423,83.81,0.076,2.3,83.39,-0.049,0.05,84.23,0.201,4.55,0.84,0.25,4.5,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$Rkf,IfcWallStandardCase,Basiswand:RB_W_MW_KS_250:3072424,40.98,23.433,-4.085,39.28,23.308,-4.8,42.68,23.558,-3.37,3.4,0.25,1.43,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_MW_KS_250
11Je14my97hBHYwYXU$Rke,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072425,44.981,23.433,-5.4,43.281,23.308,-6.0,46.681,23.558,-4.8,3.4,0.25,1.2,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$Rkh,IfcWallStandardCase,Basiswand:RB_W_MW_KS_250:3072426,44.981,23.433,-4.085,43.281,23.308,-4.8,46.681,23.558,-3.37,3.4,0.25,1.43,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_MW_KS_250
11Je14my97hBHYwYXU$Rkg,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072427,59.786,23.433,-5.4,58.086,23.308,-6.0,61.486,23.558,-4.8,3.4,0.25,1.2,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$Rkj,IfcWallStandardCase,Basiswand:RB_W_MW_KS_250:3072428,59.786,23.433,-4.085,58.086,23.308,-4.8,61.486,23.558,-3.37,3.4,0.25,1.43,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_MW_KS_250
11Je14my97hBHYwYXU$Rki,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072429,63.788,23.433,-5.4,62.088,23.308,-6.0,65.488,23.558,-4.8,3.4,0.25,1.2,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$Rkl,IfcWallStandardCase,Basiswand:RB_W_MW_KS_250:3072430,63.788,23.433,-4.085,62.088,23.308,-4.8,65.488,23.558,-3.37,3.4,0.25,1.43,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_MW_KS_250
11Je14my97hBHYwYXU$Rkk,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072431,75.089,23.433,-5.4,73.389,23.308,-6.0,76.789,23.558,-4.8,3.4,0.25,1.2,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$Rkn,IfcWallStandardCase,Basiswand:RB_W_MW_KS_250:3072432,75.089,23.433,-4.085,73.389,23.308,-4.8,76.789,23.558,-3.37,3.4,0.25,1.43,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_MW_KS_250
11Je14my97hBHYwYXU$Rkm,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072433,79.089,23.433,-5.4,77.389,23.308,-6.0,80.789,23.558,-4.8,3.4,0.25,1.2,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$Rkp,IfcWallStandardCase,Basiswand:RB_W_MW_KS_250:3072434,79.089,23.433,-4.085,77.389,23.308,-4.8,80.789,23.558,-3.37,3.4,0.25,1.43,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_MW_KS_250
11Je14my97hBHYwYXU$Rko,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072435,70.862,23.433,-5.4,69.862,23.308,-6.0,71.862,23.558,-4.8,2.0,0.25,1.2,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$Rkr,IfcWallStandardCase,Basiswand:RB_W_MW_KS_250:3072436,70.862,23.433,-4.085,69.862,23.308,-4.8,71.862,23.558,-3.37,2.0,0.25,1.43,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_MW_KS_250
